,tweet,label
23,Things you thought you'd never say: I've just had a very swift and helpful interaction with the customer service bods at @bt_uk. Fair play to them! https://t.co/gDmiP0nL9M,1
24,@VodafoneUK I have never in all the 15 plus years with Vodafone experienced such bad customer service. I am appalled and rather angry. I have been a customer for a long time and you always give excellent customer service until today!,-1
25,@VodafoneUK April in the Hawaii  - Fantastic #VeryMeRewards  #DreamHoliday,1
26,@bt_uk,1
27,@EE Done!,1
28,@bt_uk No was just not coming up for 30 mins - seemed to have rectified now - a glitch in the system! Thanks Laura,1
29,@VodafoneUK France to become a pro skater haha #VeryMeRewards,-1
30,@johnward1992 Sorry John if it's an afternoon slot it's anywhere between 1pm and 6pm for them to arrive. ^Dee,-1
31,"@bt_uk prob end up having to do that good idea , not chatted with phone bot for awhile be nice to hear her voice again",-1
32,"Exciting! @VodafoneUK will work alongside Emma Raducanu as an ambassador for 'Play Your Way to Wimbledonâ€™, working with the LTA to help inspire future tennis stars https://t.co/S3AN0b81Qn https://t.co/6khggmtk7G",1
33,"@Paula_Griffin65 Also, your postcode has been posted publicly, for security you may want to remove this and send it over via DM. 2/2 - Rachel https://t.co/m14c5xhQi0",1
34,"@bt_uk Fair enough Aideen. I appreciate the will on your part but Iâ€™ll leave it. With my job (NHS) I canâ€™t run the risk of not having full service connection. All the best, Charlie",1
35,@EE Do you think you could not raise my bill by almost 10% please?? As theres still many places i still donâ€™t get service therefore its not worth it oh an not to mention theres a cost of living crisis going on at the moment thanks EE!,-1
36,"I cannot believe the shocking decline of customer service from @bt_uk 
Nearly a year of having their ""super fast fibre"" and its been slower and more unstable than the copper wiring. Add the ineptitude of the @WeAreOpenreach engineers, I can see why people use mobile broadband.",-1
37,"@ladyvaio Hi Donna ðŸ‘‹ I'm sorry to hear that you've had issues with your new phone, I can only imagine how frustrating this must be ðŸ˜ž If you've since sent the phone off for repair, our repair centre will work around the clock to get it fixed and retured to you ASAP. Ryan",-1
38,@helloimnicholas @O2 @EE https://t.co/4SA5P5ZuMn,1
39,"@EE The redish/burgundy colour, s22 ultra and the 200 storage can't remember fully the storage number but the middle one, and Retford",-1
40,"@MohamedMuraj Hey there! You can check for any problems via our Network Status Checker here: https://t.co/HxYb6JxM9M Simply pop in your postcode, select your frequency (3G/4G/5G) and then zoom out to check your expected coverage and any potential issues. Let us know how you get on. Danny K",-1
41,"@Kicia77 Hey Daria, hope you're well. This isn't how we want our customers feeling. We're wanting to turn this around for you. Please send us a private DM with a few more details of your query, and your full postcode so that we can investigate further ðŸ”Ž Saf
https://t.co/zZC6gSR1Ak",-1
42,@VodafoneUK Iâ€™m so happy when I have a look at the moment and I will look into the other day and get back to you on the beak of the course all next week too as I am currently working on the project so I will be back on Tuesday and Tuesday next week for the rest of the week and the rest,1
43,@bt_uk what has happened to your customer service? My broadband is down due to a broken drop wire caused by @WeAreOpenreach engineer fixing a drooping drop wire next door. Appointment 15th no show. OK now 17th. No show. 18th no show! Sir defo 19th...16.30 now and guess what!!,-1
44,@10DowningStreetðŸ“¢@GOVUK censor-theres a D-Notice on my story-the journalist whose @NHSuk bloods are doctored #defamed then sectioned the day #RussiaReport published 21 July 2020-Tribunal #corrupted but released 3 Aug 2020 with reams of sadistic defamatory notes.@UN @BBCNews @CNN https://t.co/hgL0IOcNZV,-1
45,@VodafoneUK Springtime walks with my gorgeous girl - her favourite pastime is waving to all the doggies ðŸ¶ https://t.co/HvL7MRsv8P,1
46,@EE any reason Iâ€™m not getting any coverage on my phone? No bars since morning.,-1
47,"@VodafoneUK Trying different answers eventually elicits ""If youâ€™ve tried all of the above ... &lt;please speak to an adviser&gt;"" which links to a page - that then directs you back into the TOBi automated advisor

Hey @VodafoneUK, how the &lt;mildly_bad_word&gt; do I login to my vodafone account?",-1
48,@VodafoneUK Spain to feed the pigeons! Probably had worse holidays! ðŸ˜‚ #dreamholiday,-1
49,"@bt_uk Apparently, I will receive a call tomorrow morning to see how the changeover has gone.",-1
50,"@bt_uk wow. Great service. Nothing from you since the 21st Feb except a bill! 

This is your â€˜guaranteedâ€™ WiFi!!! 

#lies https://t.co/8WSf8LDO2c",1
51,"@KhanCatOfficial Hiya Khan :) How are you? I always want you to be getting the best connection as I know it's important. I can certainly take a look at this and find out what's going on. Can you pop me a DM with your postcode and mobile number, please? -Kelsey https://t.co/m14c5xhQi0",1
52,"&amp; its hurting my head it's the strangest humming deep pressure on my head its causing me more head aches &amp; migraines that's causing the flashes in my sight , I have no where else to go it's all day &amp; night can't sleep got me daughter to care for &amp; I'm losing my mind",-1
53,"@SpaceEvie Thanks Evie, you too. And I hope you have a lovely weekend ðŸ˜Š -Bob",1
54,@VodafoneUK Bungee from a 300ft crane in Australia #dreamholiday,1
55,@EE Have done - thank you,1
56,My broadband connection has been dropping having to restart my hub every other day now @EE not a happy bunny to be honest ðŸ™„ðŸ™„,-1
57,@VodafoneUK I'll be wresting ardvarks in Greece #DreamHoliday #verymerewards,1
58,"What a morning at #TechIndustryGoldLive - thank you to our speakers from @bt_uk Amy Caton &amp; Matt Wallwork, Danny Manu @mymanuofficial @naomitimperley and of course our host TechSkills CEO @KellyNi52521935 

The afternoon see a workshop from @Capgemini and Tech Titans Competition https://t.co/PRTNOtOfWX",1
59,@EE Hello !!!!!!!!,1
60,@VodafoneUK @O2 @ThreeUK @TMobile if I buy a contract today at say Â£40 a month will this rise by the rpi next month?,-1
61,@StaceyGriffin @EE Never had problems with 3 ðŸ’ª,1
62,"@JPrest0 Sorry to hear that, are there any faults listed here for your area - https://t.co/MzA036xsMJ ^Dee",-1
63,"@EE My DD has been taken and it appears that I've been charged Â£6.95 delivery due to completing the upgrade over the phone, I only called because the #MYEE System wouldn't allow it. charging me for your system errors seems very unfair!!",-1
64,"@EE My issue here is with the clearly planned and acceptable inconvenience.

Have to ""claim"" the headphones that come with my phone... annoying... you send phones to the shops...send the headphones. 

Then activate an Esim via a clearly understaffed and useless call centre in Mumbai!",-1
65,@FrimblesFarm @VodafoneUK 4G backup too?,-1
66,"@bt_uk Just popped me off hold to put me on hold again without talking for a second time. He hasnt returned back on the line. 

Why is it so difficult to get this sorted?",-1
67,@EE I made a mistake in switching from @EE to @ThreeUK 3G/4G/5G is so unreliable!! will hopefully be able to switch back,-1
68,"@EE have a new plan which I thought had free Apple music, on my account it says data has soc??? Not working on the app",-1
69,@EE Hi Chris its not just me its everyone since you put the price up by nearly 10%. Just imagine the kudos if EE said we have decided to cancel the increase this year as everyone has higher bills..,-1
70,"@repd1975 Hi Robert, thanks for getting in touch. I hope you're well.  It can take up to 48 hours for that to become available once you've topped up. Has it been over that time yet? -CS",1
71,@bt_uk you are an absolute joke. Just upgraded my fibre to a better package with you and am being told I am unable to add a monthly pass for BT Sport to watch UFC London because of it. You are literally sending a new hub out! Absolutely appalling service!,-1
72,"V&amp;M Tawroginski Property Maintenance &amp; DIY! ðŸ› ï¸ðŸ‘ŒðŸ ðŸš ðŸ™‚ #windsor
Property maintenance. ðŸ–Œï¸ðŸªœðŸ§°ðŸ§­
 Large and Small Projects! ðŸšðŸ› ï¸ #handymanservices #diy #propertymaintenance #propertyinvestment #propertyservices âœ… @vodafoneuk â˜Žï¸ @renaultuk ðŸš #renaulttrafic @samsunguk ðŸ“± #s21plus https://t.co/89E5oDgFz9",1
73,"@Punkdude1981 Hi, Dan. I hope you are well today. I know you will be eager to get your new phone. If you pop me a DM with your full name and number I can see if there are any updates for you. - Sarahjane",1
74,"Our monthly price has never been lower on the Samsung Galaxy Watch4. Plus, claim a Â£50 Google Play Voucher. Get yours now for only Â£16 per month, Â£0 upfront on a 4GB plan.",1
75,@EE I'm unable to top up my phone. Is there ongoing issue?,-1
76,"Which of the new emojis are you?

Weâ€™re all about that glitter ball. https://t.co/YD18MId0H9",-1
77,@bt_uk my mum has BT FTTP and her house has been destroyed in a fire. House will not be habitable from anything from 3 months to a year. Currently in temp accommodation. What can be done regarding the account?,-1
78,@EE rest pinball machines others like YouTube soundcloud Spotify avarify story saver and WOMBO donâ€™t use plus offroad outlaws I do those also rec Room have sort this Monday into story pay those rest April some those pinball machines pay those Monday rest April,-1
79,"When it counts you can count on EE, weâ€™re more reliable in Leeds than O2 &amp; Three",1
80,"@EE still waiting for a response to my new phone delivery. Expected Friday. Sent to #coop and tampered with, opened in store with staff. Great can of #pepsi in its place. Still nothing from #ee just hours spent on phone. https://t.co/OLBq4i3zvq",-1
81,@fkacass @bt_uk I honestly donâ€™t know. Itâ€™s madness.,-1
82,@VodafoneUK # make friends with a beer ðŸº g,1
83,"Now30, nearly 40 mins on hold to @VodafoneUK trying to sort out a problem THEY caused and potentially leaving me without internet. 
Great service here guys! Wouldnâ€™t take nearly as long if I was wanting to purchase a service https://t.co/OovTr1whdM",-1
84,@helloimnicholas @Medic_Russell @O2 @EE https://t.co/96UPyLgLbs,1
85,@VodafoneUK I'm so happy when I get a chance to share with you and your family and friends for a while to get the latest flash player is required for video playback is unavailable right now because this video is not available on this device is not available on this device is not available on,-1
86,@bt_uk That seems to be my #btsport service endedâ€¦.so why am I charged up to 10th April? I understand if this is going to be refunded but seriously a company like #bt have a system like this?,-1
87,"@Darren6270 No, not for BT Sport as you don't have to register what devices can log in. ^LauraG",-1
88,"@bt_uk 
My housebound frail elderly mother's landline has not worked since 21st Feb. She relies on it as only means of communication &amp; for lifeline in case of fall. Despite many promises and missed deadlines I'm now told it will be fixed 4th April! Six weeks! Cont.",-1
89,"@BrightKnight15 @Offcom @Number10press @VodafoneGroup @O2 @EE @ThreeUK Hi there, improving mobile coverage is a priority area for Ofcom. This work is ongoing and you can find further information regarding this in our proposed plan of work for 2022/2023 here: https://t.co/0OP0wziGkk",1
90,@VodafoneUK Gotta be the low battery. We can sort that out in just 17 minutes,1
91,"One week to go til #CreditSummit22. Come and meet the Flexys team on Stand No.1 and don't miss our panel discussions with @thameswater, @bt_uk, @DwrCymru and @oodlecarfinance.
https://t.co/533fKMnSXj https://t.co/Of5qTUoO3k",1
92,"V&amp;M Tawroginski Property Maintenance ðŸ› ï¸ðŸ‘ŒðŸ ðŸš ðŸ™‚ðŸ–Œï¸ðŸªœðŸ§°ðŸ§­starting stone patio in Wraysbury
 Large and Small Projects! #handymanservices #propertymaintenance #propertyinvestment #propertyservices âœ… @vodafoneuk â˜Žï¸ @renaultuk ðŸš #renaulttrafic @samsungukðŸ“±#s21plus https://t.co/DQI0dSO9fy",1
93,"@JCeoltaSmith As Mo previously mentioned, we would love to get your issue resolved. If you would like us to look into this for you over social media, please drop us a DM to with your name, number and query so we can help ðŸ™‚ Select 'Get Started' and 'Asked to DM' when you come through. Steph https://t.co/zZC6gSR1Ak",1
94,Phone scammers on a prowl again #Shetland @bt_uk land-line scam.,-1
95,@BuffyIles I'm sorry that happened. The team dealing will get the new order placed and I'm sure they will be able to get it at the original price. They may need to wait for the order to complete to do this. ^Kevin,-1
96,@BistoSkids Sorry to hear you`re having problems. Text FIX with your landline number &amp; Social Media username to 61998. This will automatically run tests on your line and if it doesnâ€™t fix your issue then we'll be in touch. (Texts are free unless you are on Virgin mobile). ^Sian- BT_UK Team,-1
97,"Local â€œfreeâ€ WiFi *much* slower than @EE on #4G. Looking forward to #5G coming to #Harrogate town centre!
@Speedtest https://t.co/VxDZAt79J6",-1
98,"We're here to help, pop over a DM with any queries you may have!",1
99,"@rnevitt Hi Robert

Sorry to hear this. 

Can I ask for a little more info regarding this error code please?

Is it relating to BT Sports ? ^Anthony",1
100,"@bt_uk
 hey, what are you doing? Have I been swapped onto the dodgy pair again? think I won't notice? Put me back on a pair that does what I pay you for!! (and don't offer to put me on mobile BB, this area is an EE black hole) #btbroadband #btispants https://t.co/qNLLygrFec",-1
101,"@ClareinDxb Hiya, Clare. I hope you've had a lovely weekend ðŸ˜Š

I'd love to help you get your voicemail set up. Just to check, if you text 'VM ON' to 150, what response do you get back? -Georgia",1
102,"@ShaqLeBongo Hi, Depending on when you took your Airtime plan, this would determine what kinda roaming deal you have. This can be found by visiting ðŸ‘‰ https://t.co/bYI0EKLSFW. Richie",-1
103,Slightly sad that @EE wifi calling not available at Morrison's Coventry https://t.co/UaJqe5ssUo,-1
104,"@great_teller EE do take such claims seriously Sharon, and have like all providers do, a police liaison to investigate this once it becomes a police investigation. -Ashleigh",-1
105,@EE I have D'Med you per your request!!,1
106,"@EE No, I didn't expect to be needing proof.  I was upgrading my current line and adding a new phone to that",-1
107,@Aztecross Got mine through @EE,1
108,@EE payed half it wonâ€™t let me set up new card until rest due April no option set up card when tried,-1
109,"Who says Mondays have to be blue? There's a spring in our step, and we're here to help until 11pm.",-1
110,Donâ€™t understand why I donâ€™t get a little red notification in the voicemail section of the phone app on my iPhone. Only notification is a text message that I have a voicemail. I get so few voicemails I think this is a spam text when I get it. @ee https://t.co/IAWLcZJqUf,-1
111,@VodafoneUK Iâ€™m so happy when you are in your new house and you have to be safe driving me lol,1
112,@tomallenstevens @Ruralpay @bt_uk ? Another one of your favourites too!,1
113,Thank you @EE for providing such a reliable and fast service. It has proved invaluable after I foolishly tried to switch to @CommunityFibre,1
114,"@VodafoneUK Iâ€™m so happy whenâ€¦ doughnuts come round my house to play xbox 

#InternationalDayOfHappiness https://t.co/R4e2GSj6zG",1
115,"We're ready for your messages, we'll be delighted to help!",1
116,"@andhealey That would be correct, yeah. You'd still have access to the full unlimited data during that time though ðŸ˜Š -Craig",1
117,"@VodafoneUK Iâ€™m so happy when I get home 

#InternationalDayOfHappiness",1
118,@EE Total waste of an afternoon and sat with a half working phone #poorcustomerservice #disappointed,-1
119,Switched back over to @EE today. Oh how I have missed the speeds on your network!,-1
120,@62Sauzee What department have you been trying to chat with? -Ashleigh,-1
121,@Insy812 @EE @Etsy Must ask others how they find service locally,-1
122,"@VodafoneUK #DreamHoliday Thailand - Get Lost in The Jungle ... I do hope I find my way to the beach though!!! This is awesome, thanks",-1
123,@EE No unfortunately not,-1
124,"@VodafoneUK Just spoke to Louise and thereafter Brody Miles, and both were extremely good. Both gave excellent customer service and I want them both to be recognised for this. Those are the type of employees you want to have in your team! 10/10 for them both!",1
125,"@EE Dear EE. 

I have purchased a roaming package on my phone (sent PM with number on FB). You have blocked my phone from using this. I have now complained 5 times using the web form, FB &amp; tweet. Can someone please please please please please please please please unblock my phone",-1
126,"@frenchantiq @mattfrei @EE Being famous has done it!

@EE have asked @mattfrei to send them a DM ASAP!
(couple of tweets above yours) 

It's nice to know that the blue tick works for some, hope you can get your complaint solved âœ…ðŸ‘ðŸ‘",1
127,"@Bob__Hudson Not so good Bob, keep a check on the tracker and it'll keep you updated on the progress. Should the tracker show the fault as cleared and if you're still having bother restart your Hub, if still the same let us know. ^Dom",-1
128,"@VodafoneUK Yay!! Iâ€™m going down under to Australia ðŸ‡¦ðŸ‡º to feed the penguins ðŸ§ 
#DreamHoliday",1
129,"The key developments since news of consolidation talks between @ThreeUK and @VodafoneUK emerged in January. 
https://t.co/fvkGUIJIm9",1
130,"@FMDoop @bt_uk You can come stream with me! I have a super long desk and a spare gaming laptop already set up, you can share the seat with me thoughâ€¦ ðŸ˜‰ðŸ˜‚ðŸ¤£",1
131,@martfin @bt_uk Fiber?,1
132,"@EE It would have been nice to have some notice. I didn't see that bit in the ts and cs, but I didn't read all the small print. If I don't pick another benifit I assume I just pay the premium for nothing.I can't even upgrade early,as my phone is classed as ""damaged"" so no benefits ðŸ˜ž",-1
133,"@VodafoneUK #InternationalDayOfHappiness #vodafonetreats
I'm so happy when I have a client who was a RA in a legal dept.",1
134,"@WesBez Hi there, any offers shown online must be accepted/placed online by yourself, as they may not be available to ourselves to order via phone.
Have you gone back in online and is the offer still showing? ^Janet",1
135,@EE Iâ€™m coming Monday rang up about discussion had phone pay 200 this month rest April guy gave me 30 days from now do so sort out card NatWest due fraud should be there by then or Tuesday maybe Wednesday no later than sorry caused inconvenience tell you what apps need paying,-1
136,"Iâ€™m in a bar at the Roundhouse in Camden in central London. By a big window.

And Iâ€™m on 2G

Seriously @VodafoneUK ?

Maybe we should capitalise EDGEcomputing? https://t.co/ZFepD0XkdU",-1
137,"@bt_uk 
I recieved a text re digital phone upgrade,it gives a number or link to request an adapter,the text is a premium number and the link goes to Skype??",-1
138,@bt_uk It would be up to her not me and Iâ€™m fairly sure sheâ€™s happy to just draw a line under it. Sheâ€™s got a better deal and doesnâ€™t feel disrespected any more.,1
139,"@VodafoneUK Iâ€™m so happy whenâ€¦when I give to animal charities..makes me feel Good to help

#InternationalDayOfHappiness",1
140,"Looking to see where I cut down monthly costs, figured maybe my @EE phone bill could be an area as a lot of other sim only plans are a cheaper, only to find out it'll cost me over Â£300 to get out a sim only contract ðŸ˜ Absolutely BS way to stongarm people into staying.",-1
141,@SaraCollins1998 Hi there ðŸ‘‹ I'm sorry to see this has happened. can I help with anything? Trev,-1
142,@VodafoneUK there seems to be an issue with the @grum offer on the #verymerewards all https://t.co/qxXTc9q0Kl,-1
143,"@VodafoneUK I did that (like over an hour ago), so it would be great if you could have replied to it at least.",-1
144,@VodafoneUK France - get lost in the jungle #DreamHoliday,-1
145,i'm about to make the best phone call to @bt_uk to cancel my btinternet ðŸ¥³ðŸŽ‰ðŸ¥³. @CommunityFibre is up and running and i can finally say goodbye to not so British Telecom... So excited this wonderful morning! ðŸ˜Ž https://t.co/EyAGGbDSaV,1
146,@XiaomiUK @VodafoneUK https://t.co/VOARwVIWJx,1
147,@VodafoneUK I'm so happy when you are interested in the future please can you send me the details. #VodafoneTreats #InternationalDayOfHappiness,1
148,@EE @tngap69v4u @EE are robbing bastards. Highest increase dor me as well. Absolute knobs,-1
149,@EE AMAZING service from Ashley just now thank you #grateful,1
150,"@VodafoneUK In Spain wrestling an aardvark
#VeryMeRewards #DreamHoliday",1
151,@rhys_RIS You can DM here Rhys ^Jules https://t.co/hBbj6tVEyH,1
152,@annaonthemoon Did you keep hold of your existing number when you moved back to us or did you start fresh with a new number? -Bob,-1
153,@EE Done :),1
154,"We're on a mission to treat our customers how they would want to be treated.

Usually, first thing we might do is grab pen and paper. That's okay. But there's more we can do to make people with hearing impairments more feel safer, more comfortable, and their experience better.",1
155,@VodafoneUK The wheels man,1
156,@jamie_Gas_85 @virginmedia Just move to @bt_uk ðŸ¤·â€â™‚ï¸,1
157,@bt_uk So your advert isnâ€™t true you canâ€™t watch as much sport as you want?,-1
158,@VodafoneUK Apparently I'm skiing down a mountain in Dubai... I mean they do have that vr place.. #DreamHoliday. Better get over to #verymerewards to see what I can win!,-1
159,Rise and shine itâ€™s tweeting timeÂ â˜º Weâ€™re here until 11pm to help.,1
160,@bt_uk loving my â€˜offer just for meâ€™ https://t.co/yhdNScED2d,1
161,@Amon41445235 @EE We usually offer this service to our customers but after a careful review of your profile we have decide to remove you from this service,-1
162,@ee I am mad as hell at you. I have been a customer since when you where Orange. You let me down. I spent Â£624 on a watch and between you and DPD you canâ€™t even get it delivered. Think Iâ€™ll give O2 a call.,-1
163,"â€œThe pandemic has shown we can work together virtually, and give ourselves a better balance."" âš–

@VodafoneUK HR Director Clare Corkish caught up with @StylistMagazine to talk about workplace culture. ðŸ’¡

â¬‡ Here's what to look out for:
https://t.co/NLMFcABlUX",-1
164,@SueChester7 @bt_uk @O2 @Skype @edwarddavey @ClarenceHouse @GOVUK @UN_HRC @UN Dm for quick recovery very recommendable,-1
165,"@VodafoneUK Followed instructions, sent details only to be cycled round the SAME AUTOMATIC HELP THAT DID NOTHING THE FIRST TIME! ðŸ˜¡ðŸ˜¡ðŸ˜¡A person @VodafoneUK a real life, walking talking person is what I need to assist me, not an utterly useless Bot, ruining customer experience!",-1
166,@AAllenSport @EE @bt_uk Oh no! Never go full Custis!,-1
167,@bt_uk what exactly is the issue in TR20? Service out until midnight tomorrow? Seriously?,-1
168,"@VodafoneUK I'm so happy when you get on with your hair cut ðŸ’‡â€â™€ï¸ 
ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ 

#VodafoneTreats",1
169,"@mattfrei @EE EE, in my experience too, are a rip-off. And any complaints procedure they offer will ultimately prove a waste of time. I hope you have better luck than I did - maybe being famous will help?",-1
170,"@rnevitt Hi Robert sorry for the delay, Are you getting this error code whilst watching BT sports via the app? Also if you can DM us the account details. Thanks ^Mat",-1
171,Imagine buying a Â£10 Roaming add on and not being able to call people the whole time youâ€™re abroadðŸ˜Š @EE,1
172,"@autumndazed @VodafoneUK Same here. So it is all of Milton Keynes? We can't even watch streaming TV services, and we are supposed to be on the 950mbps plan!",-1
173,Hey-o @EE @MarcAllera let today be great: start showing support &amp; enact a policy for customers affected by domestic abuse #CorporateAccountability #CorporateResponsibility #DoSomething #victimblaming #SurvivorShaming #MeTooÂ #CoerciveControl #FinancialAbuse #DomesticAbuse #Day1042,-1
174,"V&amp;M Tawroginski Property Maintenance &amp; DIY! ðŸ› ï¸ðŸ‘ŒðŸ ðŸš ðŸ™‚ #windsor
Property maintenance. ðŸ–Œï¸ðŸªœðŸ§°ðŸ§­
 Large and Small Projects! ðŸšðŸ› ï¸ #handymanservices #diy #propertymaintenance #propertyinvestment #propertyservices âœ… @vodafoneuk â˜Žï¸ @renaultuk ðŸš #renaulttrafic @samsunguk ðŸ“± #s21plus https://t.co/r9hLhCJR7v",1
175,@jamie_Gas_85 @TheGasGeezer01 @virginmedia @bt_uk 4g dongle,1
176,@VodafoneUK F1 is on,1
177,"@bt_uk Thanks Dee, will do ðŸ˜Š Surprised it's still an issue after all these years!",1
178,"@MattKeena Hello Matt so sorry to see your post can you pop us over the full name, address and acc num on DM and we'll have a look at things for you ^Alannah",-1
179,"@VodafoneUK we're only getting 38% of our 950mb download speed tonight &amp; only 14% of the upload speed. Looking around the internet, there are clearly issues with your service tonight, why not just make an announcement to let us all know when you'll have the service fully restored",-1
180,"@SimonBeale @EE @Mobilescouk @AffordableMob Can can confirm affordable mobiles only do them with Three, Vodafone and O2",-1
181,"We're finished for the night. Youâ€™ve all been lovely! We'll see you 7am tomorrow. Need to change your personal details? Try My EE, which is available 24/7 https://t.co/7R4BhxY4OB",-1
182,@bt_uk @WeAreOpenreach customer service is absolutely shocking. My 80 year old father has been without a line for a month now since moving. All he keeps getting told every two days is the issue is being escalated. How high does something have to be escalated to be resolved?? ðŸ¤¬ðŸ¤¬,-1
183,"@bt_uk Is there an outage in Newbury at the moment, Iâ€™ve had no internet since 7.45",-1
184,@lexnnehxyes Hey Leanne ðŸ‘‹ Could you please give me an idea of how I can help? ðŸ˜Š Harriet,1
185,@bt_uk excellent service via Twitter. Thank you.,1
186,@bt_uk are absolutely useless.,-1
187,"@EE You got the number it belongs to your network you know who owns this number. The police will trace it and act on it accordingly , they should do, itâ€™s evil people and gang stalkers doing it. They will be caught and brought to justice, going on since May 2019 its next doors probs",-1
188,"@EE I am less than a mile outside of Lincoln city centre and my signal is atrocious, why",-1
189,@EE Unhappy Friday. No service in NR21 since 09.30 this morning and still no service now â€¦.,-1
190,@connordoner @mattfrei @EE @kevinbacon Yes that is true thanks for pointing out the obvious...bt must have better customer service i think,1
191,@VodafoneUK #dreamholiday Iâ€™ll be in Japan building a huge sandcastle ðŸ˜‚,1
192,@VodafoneUK #InternationalDayOfHappiness Iâ€™m so happy when I go visit my baby girl at uni,1
193,"@EE Thanks, but what about 3.9% on top of CPI ?",1
194,@VodafoneUK Fabulous trips to the beautiful New Forest with my 2 gorgeous girls xx https://t.co/aZilFZ4yFG,1
195,"@BromleyCommuter @Ker_Anderson You're able to opt into updates Mark, please enter your Mobile Number on our Network Status Checker link ðŸ‘‡
https://t.co/JaH0XHfkbZ
When the issue has been resolved, you'll receive a text message. I hope this helps. Saf",-1
196,@VodafoneUK DM sent,1
197,"@EE is there a reason as to why not a single ee page will load for me to top my phone up? My home WiFi is fine but no page will load, not even ee home page. Can we sort this please? 2 weeks and I still can't sort it.",-1
198,"Hey Birmingham, choose the network thatâ€™s fastest in your city",1
199,@EE My prepaid SIM is having an auth error when trying to connect to the EE WiFi-Auto SSID in the underground. Have to activate in the store before use?,-1
200,@bt_uk Yes so she reported the failure on the 1st. 3 working days after that you had to try and fix it. So sheâ€™s had 13 days without any service = Â£104.78. Is that not correct. Hopefully it will be fixed tomorrow and the fee wonâ€™t get bigger.,-1
201,Oh @bt_uk Iâ€™ve given you 4 chances to connect me as a customer switching from Virgin. Shouldâ€™ve been connected a month ago and order was placed weeks before that. Just sharing my experience for anyone else thinking of switching; BT arenâ€™t up to it and cheaper deals elsewhere too,-1
